제목,기관명,채용분야,고용형태,학력정보,채용구분,근무지,채용인원,공고기간
한전KDN 원전인프라팀 기간제근로자 채용 공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,경북,1,22.12.26 ~ 23.01.10
한전KDN(주) '23년도 OPGW분야 일용근로자 모집 공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,"서울,인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북,제주,세종",325,22.12.26 ~ 23.01.09
한전KDN 경남사업처 진주지사 AMI분야 일용원 채용 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경남,4,22.12.23 ~ 23.01.06
KAIST 제조 AI 빅데이터센터 위촉연구원 모집,한국과학기술원,"사업관리,정보통신",비정규직,"대졸(4년),석사",신입+경력,대전,1,22.12.23 ~ 23.01.08
한전KDN(주) 부산울산경남지역본부 직할 전력통신팀 정보통신설비 단순정비 일용근로자 고용공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,부산,1,22.12.22 ~ 22.12.28
2023년 우체국물류지원단 1차 전문계약직 채용 공고,(재)우체국물류지원단,"사업관리,경영.회계.사무,보건.의료,정보통신,환경.에너지.안전",비정규직,"학력무관,석사,박사",경력,서울,4,22.12.22 ~ 23.01.06
2023년 우체국물류지원단 1차 정규직 채용 공고,(재)우체국물류지원단,"경영.회계.사무,운전.운송,정보통신,환경.에너지.안전",정규직,학력무관,신입+경력,"서울,인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북,세종",37,22.12.22 ~ 23.01.06
"2023년 상반기 체험형 청년인턴(일반, 장애인) 채용 공고",한전원자력연료주식회사,"사업관리,경영.회계.사무,기계,재료,화학,전기.전자,정보통신,인쇄.목재.가구.공예,환경.에너지.안전",청년인턴(체험형),학력무관,신입,대전,40,22.12.22 ~ 23.01.06
2023년 상반기 일반직 신입 인턴사원 일반 공채,한국수자원공사,"사업관리,경영.회계.사무,법률.경찰.소방.교도.국방,건설,기계,화학,전기.전자,정보통신,환경.에너지.안전","청년인턴(체험형),청년인턴(채용형)",학력무관,신입,"인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북,제주,세종",100,22.12.20 ~ 23.01.03
한전KDN 경기강원지역본부 직할 배전분야 현장작업원 모집공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,경기,3,22.12.20 ~ 23.01.03
2023년도 한전KDN 광주전라제주지역본부 순천지사 AMI분야 비정규직 모집공고(1차),한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,전남,12,22.12.20 ~ 23.01.03
한국특허기술진흥원 직원(선행기술조사) 채용 안내,한국특허기술진흥원,"법률.경찰.소방.교도.국방,화학,전기.전자,정보통신",무기계약직,"대졸(4년),석사,박사",신입,대전,15,22.12.16 ~ 22.12.30
